longitude,latitude,radius,county,risk_category
-118.40264199999999,34.400323,7,Los Angeles,0
-118.68111100000002,37.561389,7,Mono,0
-119.061497,34.353092,7,Ventura,0
-116.52666699999999,32.828056,7,San Diego,0
-118.343701,34.058007,7,Los Angeles,0
-118.90708899999998,34.18054,7,Ventura,0
-119.221251,34.159362,7,Ventura,0
-118.386954,34.674457000000004,8,Los Angeles,1
-117.59810900000001,34.122232000000004,8,San Bernardino,1
-122.41662600000001,38.679328999999996,8,Napa,1
-117.755031,34.689335,8,Los Angeles,1
-116.920278,34.088333,8,San Bernardino,1
-117.95931100000001,33.947844,8,Los Angeles,1
-117.670056,35.018887,9,Kern,1
-120.72083300000001,35.199166999999996,9,San Luis Obispo,1
-120.95138899999999,40.14,9,Plumas,1
-118.93311200000001,34.401069,9,Ventura,1
-118.661948,34.192708,9,Los Angeles,1
-124.07194399999999,41.7925,9,Del Norte,1
-118.356806,33.776376,9,Los Angeles,1
-117.80511299999999,35.640156,9,Kern,1
-116.286294,32.663632,9,San Diego,1
-122.565905,38.035712,10,Marin,1
-118.384148,35.64363200000001,10,Kern,1
-116.6875,34.827778,10,San Bernardino,1
-118.36339199999999,34.595496999999995,10,Los Angeles,1
-119.694167,35.616389,10,Kern,1
-116.61583300000001,32.852778,11,San Diego,1
-123.03861100000002,38.324444,11,Sonoma,1
-118.12008200000001,33.781865,11,Long Beach,1
-118.430213,34.47789,11,Los Angeles,1
-118.10253300000001,34.139229,11,Los Angeles,1
-119.51388899999999,37.0375,11,Fresno,1
-116.673979,33.108888,12,San Diego,1
-117.90075900000001,33.602251,12,Orange,1
-121.88861100000001,37.594444,12,Alameda,1
-116.392222,34.266110999999995,12,San Bernardino,1
-117.23361100000001,34.238889,12,San Bernardino,1
-118.347168,33.760022,12,Los Angeles,1
-118.759551,34.174226000000004,12,Ventura,1
-118.21058300000001,34.001902,13,Los Angeles,1
-122.44998799999999,38.57722800000001,13,Napa,1
-122.38077,38.363302000000004,13,Napa,1
-119.059692,36.144890000000004,13,Tulare,1
-122.36711000000001,38.396425,13,Napa,1
-122.51181499999998,37.540905,13,San Mateo,1
-121.148416,39.229085999999995,13,Nevada,1
-122.588172,38.01005900000001,13,Marin,1
-116.06583300000001,35.275833,14,San Bernardino,1
-119.394714,36.64647,14,Tulare,1
-121.640556,38.015,14,Contra Costa,1
-119.00931200000001,38.016591,14,Mono,1
-122.77,38.496389,14,Sonoma,1
-117.382778,35.765278,14,San Bernardino,1
-120.829167,38.191666999999995,14,Calaveras,1
-117.84888799999999,34.15532,14,Los Angeles,1
-120.18043999999999,39.329874,14,Nevada,1
-116.820278,34.905,14,San Bernardino,1
-118.61063700000001,34.31406,15,Los Angeles,1
-122.56166699999999,37.974722,15,Marin,1
-118.03253600000001,34.526511,15,Los Angeles,1
-117.961701,34.733315000000005,15,Los Angeles,1
-118.168691,33.801783,15,Long Beach,1
-118.93448899999999,34.840174,15,Kern,1
-118.661203,34.163748999999996,15,Los Angeles,1
-118.448889,35.132222,15,Kern,1
-120.10244099999998,36.428874,15,Fresno,1
-118.16333300000001,34.864167,15,Kern,1
-122.487025,37.942256,15,Marin,1
-118.51166299999998,35.710558,16,Kern,1
-116.58555600000001,33.070833,16,San Diego,1
-117.49916699999999,34.259167,16,San Bernardino,1
-117.82055700000001,34.056470000000004,16,Los Angeles,1
-117.21686299999999,34.244027,16,San Bernardino,1
-121.23472199999999,40.3025,16,Plumas,1
-122.39840900000002,37.79937,16,San Francisco,1
-120.84472199999999,38.481944,17,Amador,1
-117.862804,34.971263,17,Kern,1
-120.893611,35.438333,17,San Luis Obispo,1
-120.65961599999999,35.282752,17,San Luis Obispo,1
-122.90840700000001,41.336228999999996,17,Siskiyou,1
-116.638908,33.549092,17,Riverside,1
-122.92033,39.216,17,Lake,1
-122.36711000000001,38.396425,17,Napa,1
-122.78756000000001,39.06556,17,Lake,1
-117.334167,34.598889,17,San Bernardino,1
-119.45638899999999,35.1425,17,Kern,1
-119.39916699999999,37.018889,17,Fresno,1
-116.82888899999999,34.243333,17,San Bernardino,1
-122.508804,37.89778,18,Marin,1
-118.504448,35.733109999999996,18,Kern,1
-120.90777800000001,39.935278000000004,18,Plumas,1
-119.09693100000001,36.413681,19,Tulare,1
-117.94833200000001,35.302887,19,Kern,1
-122.21305600000001,38.0525,19,Contra Costa,1
-119.79,36.842778,19,Fresno,1
-117.344167,34.154167,19,San Bernardino,1
-121.09142,38.976836999999996,20,Nevada,1
-118.01568799999998,34.614211,20,Los Angeles,1
-117.968387,34.153532,20,Los Angeles,1
-116.423024,33.25489,20,San Diego,1
-121.98944399999999,37.238056,20,Santa Clara,1
-122.46449799999999,37.872669,20,Marin,1
-119.246779,36.740263,20,Fresno,1
-117.91925900000001,34.463499,21,Los Angeles,1
-122.3163,38.1997,21,Napa,1
-118.284121,34.764410999999996,21,Los Angeles,1
