name,x,y,county,ordinal_cat,COVID-19 danger
Arco,-118.07297959999998,34.1499462,Los Angeles,3,Medium Risk
76,-121.6099513,37.083717,Santa Cruz,2,Mild Risk
76 Gas Station,-121.62414469999999,37.100976,Santa Cruz,2,Mild Risk
Unknown Name,-121.66512150000001,37.1445217,Santa Cruz,2,Mild Risk
76,-122.36066940000002,37.58864370000001,San Mateo,1,Low Risk
Valero,-122.30024409999999,37.99210720000001,Contra Costa,2,Mild Risk
Shell,-122.31159280000001,37.988408299999996,Contra Costa,2,Mild Risk
Unknown Name,-122.29566270000001,37.9791807,Contra Costa,2,Mild Risk
Golden Gate Petroleum,-122.28332879999999,37.9605327,Contra Costa,2,Mild Risk
Unknown Name,-122.31784990000001,37.9644305,Contra Costa,2,Mild Risk
Unknown Name,-121.5819534,37.013221200000004,Santa Cruz,2,Mild Risk
Chevron,-122.31771699999999,37.98661170000001,Contra Costa,2,Mild Risk
Unknown Name,-122.33200169999999,37.9786311,Contra Costa,2,Mild Risk
Unknown Name,-122.3250443,37.9630804,Contra Costa,2,Mild Risk
Unknown Name,-122.31300139999999,37.976607,Contra Costa,2,Mild Risk
Shell,-122.36511399999999,37.5963082,San Mateo,1,Low Risk
Ranier's Service Station,-122.12959009999999,37.4544367,San Mateo,1,Low Risk
Arco,-122.02277050000001,37.566539,Alameda,3,Medium Risk
76,-122.02615220000001,37.5681989,Alameda,3,Medium Risk
Mobil,-119.1131946,37.9472716,Mono,1,Low Risk
76,-122.27894609999998,37.8911539,Alameda,3,Medium Risk
76,-122.3043584,37.90218820000001,Contra Costa,2,Mild Risk
R&R,-122.298693,37.9016186,Contra Costa,2,Mild Risk
Unknown Name,-122.309519,37.90094970000001,Contra Costa,2,Mild Risk
Shell,-118.3182378,34.177839299999995,Los Angeles,3,Medium Risk
Shell,-122.28261850000001,37.8023325,Alameda,3,Medium Risk
Chevron,-122.2754621,37.8088829,Alameda,3,Medium Risk
Mission 76,-118.0912003,34.091421399999994,Los Angeles,3,Medium Risk
USA Gasoline,-118.9173442,34.395886600000004,Ventura,0,
Chevron,-118.9180341,34.3958016,Ventura,0,
Circle K,-118.9115281,34.39731010000001,Ventura,0,
7 - Eleven,-118.92295220000001,34.3958653,Ventura,0,
Shell,-118.927553,34.395178,Ventura,0,
Chevron,-122.71408740000001,38.386672,Sonoma,2,Mild Risk
Rotten Robbie,-122.71543490000002,38.38744570000001,Sonoma,2,Mild Risk
Nyack Shell,-120.67877859999999,39.291968,Nevada,0,
Shell,-121.07592450000001,38.9038182,Nevada,0,
Shell,-122.42360959999999,37.740370299999995,San Francisco,2,Mild Risk
Shell,-121.05986029999998,38.91836970000001,Nevada,0,
Valero,-117.1909435,34.0631935,San Bernardino,1,Low Risk
Arco,-118.1168861,33.8732434,Los Angeles,3,Medium Risk
Unknown Name,-117.88200810000001,33.6662881,Orange,3,Medium Risk
Unknown Name,-117.9074196,33.680450799999996,Orange,3,Medium Risk
Unknown Name,-117.9073767,33.6798795,Orange,3,Medium Risk
Unknown Name,-117.9081749,33.67978660000001,Orange,3,Medium Risk
Chevron,-117.88533570000001,33.682168100000005,Orange,3,Medium Risk
Unknown Name,-117.8859959,33.682687,Orange,3,Medium Risk
Chevron,-117.88602240000002,33.6798397,Orange,3,Medium Risk
Chevron,-122.2506126,37.429409299999996,San Mateo,1,Low Risk
Shell,-117.711324,33.5268906,Orange,3,Medium Risk
76,-117.71221299999999,33.5265253,Orange,3,Medium Risk
7-Eleven,-117.152859,32.832383,San Diego,3,Medium Risk
USA Gasoline,-118.07750159999998,34.1032054,Los Angeles,3,Medium Risk
Shell,-118.07283100000001,34.1300433,Los Angeles,3,Medium Risk
Unknown Name,-122.0682149,37.3216867,Santa Clara,3,Medium Risk
76,-118.0993656,34.103132099999996,Los Angeles,3,Medium Risk
76,-118.0737443,34.1499369,Los Angeles,3,Medium Risk
Unknown Name,-121.0162696,38.887266499999996,El Dorado,2,Mild Risk
Shell,-117.083441,34.851858899999996,San Bernardino,1,Low Risk
Chevron,-118.4219203,34.245562899999996,Los Angeles,3,Medium Risk
Chevron,-119.025986,35.2672774,Kern,3,Medium Risk
76,-122.36637209999999,37.5844628,San Mateo,1,Low Risk
Unknown Name,-118.099333,33.8325235,Los Angeles,3,Medium Risk
#1 Gas,-122.27337800000001,37.873092299999996,Alameda,3,Medium Risk
Shell,-122.0751723,37.3781204,Santa Clara,3,Medium Risk
Hilltop,-121.7597078,36.8741542,Santa Cruz,2,Mild Risk
Valero,-121.95678640000001,36.9843969,Santa Cruz,2,Mild Risk
Chevron,-121.95650249999998,36.9825909,Santa Cruz,2,Mild Risk
Unknown Name,-121.75382759999998,36.9071679,Santa Cruz,2,Mild Risk
Unknown Name,-121.75334699999999,36.90667379999999,Santa Cruz,2,Mild Risk
Quickstop,-121.7499138,36.9043403,Santa Cruz,2,Mild Risk
Shell,-117.18071210000001,34.0575158,San Bernardino,1,Low Risk
Shell,-122.4518447,37.7815425,San Francisco,2,Mild Risk
Unknown Name,-121.73415859999999,38.5488231,Yolo,2,Mild Risk
Shell,-122.0216947,36.9797568,Santa Cruz,2,Mild Risk
Rod & Ros,-122.01109469999999,36.9812589,Santa Cruz,2,Mild Risk
76,-121.96511159999999,36.980857799999995,Santa Cruz,2,Mild Risk
Arco,-121.887701,36.9745011,Santa Cruz,2,Mild Risk
