date,county,fips,place,confirmed_cases,note,x,y,log_cases,category,ordinal_cat,alpha
2020-10-23,Nevada,57.0,95924,1,9 or fewer,-121.02414399999999,39.199754,0.0,0,0,165.68167477290982
2020-10-23,Nevada,57.0,95986,1,9 or fewer,-120.79501200000001,39.361486,0.0,0,0,17.30061908982218
2020-10-23,Nevada,57.0,95977,1,9 or fewer,-121.28975,39.193220000000004,0.0,0,0,77.55883190622106
2020-10-23,Nevada,57.0,96111,1,9 or fewer,-120.021212,39.392752,0.0,0,0,64.34513410804092
2020-10-23,Nevada,57.0,95712,1,9 or fewer,-120.96725500000001,39.145764,0.0,0,0,69.87168387854297
2020-10-23,San Mateo,81.0,Broadmoor,1,9 or fewer,-122.478889,37.6925,0.0,0,0,824.6930100224324
2020-10-23,Nevada,57.0,95724,1,9 or fewer,-120.64145,39.26599,0.0,0,0,25.445194060540334
2020-10-23,San Mateo,81.0,La Honda,1,9 or fewer,-122.20865800000001,37.29111500000001,0.0,0,0,72.04227624536453
2020-10-23,San Mateo,81.0,North Fair Oaks,1,9 or fewer,-122.1966,37.4744,0.0,0,0,542.9444614342049
2020-10-23,Nevada,57.0,95728,1,9 or fewer,-120.41038999999999,39.311156,0.0,0,0,36.825132522235904
2020-10-25,Kern,29.0,93287: Woody,2,,-118.836405,35.703491,0.6931471805599453,0,0,68.43223009236219
2020-04-07,Riverside,65.0,Warm Springs,2,,-117.32865100000001,33.679744,0.6931471805599453,0,0,264.757945595863
2020-10-25,Los Angeles,37.0,East Lancaster,2,,-117.99598200000001,34.667605,0.6931471805599453,0,0,136.2177383970531
2020-10-23,Imperial,25.0,92222,2,,-114.560561,32.789371,0.6931471805599453,0,0,30.375395338653856
2020-07-20,San Bernardino,71.0,Fort Irwin,2,,-116.68463500000001,35.26284000000001,0.6931471805599453,0,0,12.18857485302261
2020-10-22,Inyo,27.0,East County,2,,-117.14638899999999,36.606111,0.6931471805599453,0,0,8.39425033755787
2020-04-07,Riverside,65.0,Mesa Verde,2,,-114.73166699999999,33.595833,0.6931471805599453,0,0,48.19981589685018
2020-10-25,San Bernardino,71.0,Pioneertown,2,,-116.494722,34.157222,0.6931471805599453,0,0,116.95278781908547
2020-04-21,Ventura,111.0,Oak View,2,,-119.31319199999999,34.397521999999995,0.6931471805599453,0,0,512.127397743712
2020-06-23,Calaveras,9.0,Upper Highway 4 Corridor,2,,-120.159167,38.404444,0.6931471805599453,0,0,45.65628499812857
2020-03-25,Los Angeles,37.0,Pico,2,,-118.3798,34.0557,0.6931471805599453,0,0,2205.8116746347355
2020-10-25,Kern,29.0,93226: Glennville,2,,-118.72974599999999,35.723529,0.6931471805599453,0,0,31.895534066093752
2020-10-25,San Bernardino,71.0,Devore,2,,-117.401389,34.216389,0.6931471805599453,0,0,133.82060967293805
2020-05-06,Kern,29.0,Lebec,2,,-118.96968000000001,34.840088,0.6931471805599453,0,0,229.66087231736253
2020-10-25,Los Angeles,37.0,Angeles National Forest,2,,-118.27900700000001,34.275218,0.6931471805599453,0,0,453.30035572988675
2020-05-06,Kern,29.0,Pine Mountain Club,2,,-119.156667,34.846944,0.6931471805599453,0,0,60.7242653464307
2020-10-25,Kern,29.0,93518: Caliente,2,,-118.628869,35.29122299999999,0.6931471805599453,0,0,63.274929518611025
2020-10-25,San Bernardino,71.0,Big River,2,,-114.369722,34.133889,0.6931471805599453,0,0,11.660922780521144
2020-10-25,Kern,29.0,93276: Tupman,2,,-119.364401,35.29931,0.6931471805599453,0,0,99.54034862727424
2020-05-06,Kern,29.0,Ridgecrest,3,,-117.670833,35.6225,1.0986122886681098,0,0,16.22336758917941
2020-10-25,San Diego,73.0,Ranchita,3,,-116.62567800000001,33.183513,1.0986122886681098,0,0,82.34835523274185
2020-10-23,Napa,55.0,West Napa Area,3,,-122.35301899999999,38.28391,1.0986122886681098,0,0,1035.5674681812066
2020-10-25,San Diego,73.0,Jacumba,3,,-116.19145,32.630987,1.0986122886681098,0,0,37.17552832527616
2020-03-16,Los Angeles,37.0,Santa Clarita and Stevenson Ranch,3,,-118.52,34.42,1.0986122886681098,0,0,463.48422007401643
2020-10-23,Napa,55.0,Lake Berryessa,3,,-122.237357,38.622114,1.0986122886681098,0,0,22.853200353812557
2020-04-21,Ventura,111.0,Piru,3,,-118.793982,34.415274,1.0986122886681098,0,0,473.4898070841666
