name,longitude,latitude
Java House Breakfast and Lunch,-122.387807,37.7814263
Carmen's Pier 40 Restaurant,-122.387865,37.7819219
Caffe Centro,-122.3942534,37.7817082
South Park Cafe,-122.3943834,37.7816118
Koh Samui and the Monkey Restaurand and Bar,-122.39465,37.7796465
Unknown Name,-121.5351708,36.8425546
The Cutting Horse,-121.5371878,36.8447252
Mariposa Tea Room,-121.5374958,36.8440703
Matxain Etxea,-121.5371449,36.8438803
Mission Cafe,-121.53669,36.8447183
Jardine's,-121.535865,36.843779
La Burrita,-122.2606291,37.8755667
Momo Masala,-122.2597989,37.8753367
TC Garden,-122.2596926,37.8753534
Camille,-122.2597197,37.8754617
Seoul hotdog,-122.2598263,37.8755121
Aki's,-122.2598384,37.8754473
Bollywood Cafe,-122.2601321,37.8758594
Celia's,-122.2600854,37.8755541
Bongo Burger,-122.260097,37.875613
Stuffed Inn,-122.2601117,37.8756956
Little Star Pizza,-122.4222039,37.7664478
Tassos Old House,-121.57699,37.0134781
Claddagh Irish Restaurant,-121.5956721,37.012373
Ninja Sushi,-121.5829061,37.0137626
Home Town Buffet,-118.0747716,34.0997264
Cheung Sheng Chinese,-121.4012931,36.8501868
Casa de Fruta,-121.382451,36.9882491
Miyako Japanese Restaurant,-121.4011512,36.8608536
New Tung Kee,-121.5546487,37.0022664
Ruen Tong,-123.2082324,39.1577005
Round Table Pizza,-123.2079234,39.1488549
Super Taco,-123.2013915,39.1527405
Broiler Steakhouse,-123.2281475,39.2613145
Mario's,-123.2396917,39.2709234
Mountain Mike's,-121.640987,37.1117958
Scrambl'z Diner,-121.637591,37.1304134
Jesus Mexican Restaurant,-121.648257,37.1211192
Kaya Japanese Seafood,-118.0744044,34.1054762
Petrillo's,-118.0709798,34.104467
Running Rooster,-121.4025346,36.8480655
AJ Sushi,-121.4019798,36.8486931
Jesse's,-121.4025634,36.8491189
Pinocchio's Pizza,-121.5664552,37.0010707
Taco's Ameca II,-121.5817731,37.0321881
Sinaloa Restaurant,-121.6542302,37.1295892
Bella Italia,-118.0728527,34.1285902
Clearman's Galley,-118.0733762,34.1281923
Ruth's Chris Steak House,-117.8455678,33.6716654
Dupont Thai,-122.4072822,37.7995427
Bocce Cafe,-122.4070903,37.7998993
Maykadeh Persian Restaurant,-122.4069896,37.7998833
Tommaso's Ristorante Italiano,-122.4052952,37.7977838
Tony's Coal Fired Pizza & Slice House,-122.4090363,37.8002363
Victoria's,-121.5837472,37.0144685
Mountain Mike's,-121.5836356,37.0144685
Fast Dragon,-121.5843652,37.0143657
Round Table Pizza,-121.5873093,37.014359
Bamboo Village,-121.5873092,37.0145234
Carnitas Michoacan,-121.5689104,37.0078716
Dutchman's Pizza,-121.5576551,37.0010749
Paleteria Taqueria,-121.5617681,37.0009933
El Grullense,-121.5616434,37.0028703
China Palace,-121.5621756,37.0027469
Artesano,-122.4504119,37.7866209
Osteria Cucina Toscana,-122.4467909,37.7881122
Hanabi Ramen,-122.3519499,37.5824375
Philly's cheese steak shop,-122.3521044,37.5824987
Old City Hall,-121.5684331,37.0070318
Cafe Sport,-122.4087027,37.7996803
Vito's Trattoria,-121.9157366,37.3652932
Barbusa,-117.1685031,32.7247806
Stella Alpina,-122.3495326,37.578774
Gaeta's Restaurant,-121.5713453,37.0132243
Los Princesas,-121.5764621,37.0198458
Subway Sandwiches,-117.1723196,32.7297809
Eureka!,-122.0786759,37.3938542
Nation's Giant Hamburgers,-122.3036058,37.9018413
Bangkok Spoon,-122.0779217,37.3935198
Jerusalem Organic Kitchen,-122.2773181,37.8916279
Bangkok Jam,-122.277372,37.8913027
Ajanta,-122.277459,37.8912894
Venus,-122.277543,37.8916057
Cactus Taqueria,-122.27781,37.8916007
Zachary's Chicago Pizza,-122.278645,37.891561
Kirin,-122.2807605,37.8914247
Vanessa's Bistro,-122.2822087,37.8913446
Sichuan Style Restaurant,-122.2825494,37.8913258
AKEMI,-122.2827515,37.8913287
Sushi 29,-122.2833646,37.8912799
Himalayan Tandoori and Curry House,-122.2834568,37.8912768
Organic Greens,-122.2840506,37.8912355
Kyoto,-122.2845543,37.8912162
Nomad,-122.2847312,37.8911993
Barney's,-122.2848078,37.8911948
Taqueria Talavera,-122.2854085,37.8911811
Rivoli,-122.2863106,37.8911234
Fonda,-122.2873434,37.8910616
Sunny Side Up,-122.2876047,37.8910491
House of Curries,-122.2876851,37.8910607
Bistro 1491,-122.2879048,37.8910362
Renee's Place,-122.288403,37.8910081
Bowl'd,-122.2883052,37.8910126
Gordo Taqueria,-122.2894754,37.890935
Sushi Solano,-122.2906548,37.890878
Chez Mansour,-122.2907198,37.8908795
China Village Restaurant,-122.2911966,37.8908709
Oori Rice Triangles,-122.2938478,37.8906942
Sugata,-122.2986478,37.8904526
Ferratt's,-122.2992316,37.8905189
Golden Grain Restaurant,-122.2984803,37.8895511
Da Nang,-122.2986483,37.8900671
The Hot Shop,-122.2986139,37.8899573
Everest Kitchen,-122.2974147,37.890221
Cafe Raj,-122.2968952,37.8901862
Bua Luang,-122.2965641,37.8902538
Zarri's Delicatessen,-122.2941512,37.890385
Lao/Thai Kitchen,-122.2891937,37.8906728
Kathmandu Restaurant,-122.2890222,37.8906843
Sweet Basil,-122.2815996,37.8911252
Cugini,-122.2850467,37.8909203
Il Postale,-122.0308458,37.3762279
Hardy’s Bavaria,-122.0294195,37.377679
Thai Basil,-122.0300203,37.3775357
Erik’s DeliCafé,-121.8920687,37.3357967
Hidden Springs Cafe (closed),-118.1319811,34.3180846
Phở Tô Châu,-122.0796563,37.3939064
Pizza Hut,-118.3197656,34.1894766
Palmetto,-122.2697059,37.8081974
kingsburg kitchen,-118.1105299,34.1027313
Westside Grill,-121.598932,37.0149401
Mission 261,-118.1097823,34.0989499
Taqueria Los Charros,-122.0803728,37.392923
Mantra India,-122.0798058,37.3928055
Petrillos Pizza,-118.0890922,34.0804762
Hakata Ramen,-118.0845175,34.0796729
Hong Yei,-118.0907631,34.0993168
Rock n' Fish,-118.4111276,33.8844407
Big Wang's,-118.3289013,34.0996138
Cafe Etc.,-118.3293304,34.0998981
Luscious Dumplings 潤豐元餃子,-118.1098935,34.1020732
Jerry's Famous Deli,-118.3806155,34.0770679
Bossa Nova,-118.3858713,34.0832711
The Wits End,-117.1612551,32.7472394
The Thai Grill,-117.161175,32.7472394
Pizza Hut,-118.3147464,34.2602353
The Hidden Café,-122.2867833,37.8683211
Oasis Grill,-122.267312,37.870256
Flavia Osteria,-122.2668557,37.8703285
Easterly Hunan,-122.266793,37.870339
Cafe Rio,-122.2666332,37.870361
Moe Sushi and Grill,-122.2664107,37.8703929
Bongo Burger,-122.2663289,37.8704013
Chiquita's Mexican Food,-117.1070615,32.723789
Flicks,-117.1546581,32.7482712
Pokéz,-117.1557148,32.7145654
Hanami Sushi,-121.6297478,37.1334754
Sunnyside Restaurant,-120.1534575,39.1393275
Ryderz,-120.8415957,37.7684001
Giamelas,-118.3239296,34.2601218
Unknown Name,-118.3233849,34.2599959
Firefly,-122.4382091,37.7511229
Bernal Heights Pizzeria,-122.4270583,37.7490403
Skates on the Bay,-122.317987,37.86365
TK Burger,-117.885407,33.6789741
Memphis,-117.8853349,33.6751896
Native Foods,-117.8866007,33.6783296
Wahoo's Fish Tacos,-117.8853783,33.6803937
Mother India,-117.8849921,33.6807865
Maggiano's,-117.8870294,33.6936976
Unknown Name,-117.1398974,32.7113977
Curry and More,-117.0765498,33.0232946
Mijita Cocina Mexicana,-122.3931072,37.7954547
Slanted Door,-122.3938817,37.7963333
Hog Island Oyster Company,-122.3936029,37.7960191
Muracci's,-122.2588788,37.8663957
Crossroads,-122.2563567,37.8670418
Dell'Uva,-122.4084162,37.7994783
Panta Rei Restaurant,-122.4087764,37.7991508
Original Joe's,-122.409326,37.800326
Mama's on Washington Square,-122.4095533,37.8014859
Tuk-Tuk Thai Cafe,-122.4104847,37.8001904
Jim Denny's,-121.4902979,38.5811943
Oceanview Terrace,-117.2426,32.8831
Oco Time,-123.2080608,39.1490598
Anthony's Fish Grotto Restaurant,-117.1736163,32.7196469
Kirala,-122.266771,37.859241
Tuk Tuk Thai Cafe,-122.2677272,37.8644974
ThirstyBear Brewing Company,-122.399512,37.785543
Aloha Steakhouse,-119.2929297,34.2763945
La Cosecha,-119.2933398,34.2766107
Cafe Bella,-119.2932797,34.279859
The Sportsman,-119.2932883,34.2801072
Bollywood,-119.2929021,34.2806533
Cafe Fiore,-119.2928677,34.2799654
Weaver's Wines,-119.292902,34.2804193
Sushi Marina,-119.2928677,34.2792065
許留山,-118.1036414,34.0793152
Islands,-118.0771325,34.1506173
Maria's Cafe,-118.0769265,34.1506173
Panda Inn,-118.0781581,34.1499492
Sequoia Restaurant,-120.8084927,38.7322645
Teo Restaurant & Bar,-122.4109149,37.7790091
K-Oz,-122.4098862,37.7785813
Tu Lan Restaurant,-122.4101662,37.7819305
Acquolina,-122.4090839,37.8005954
North Beach Pizza,-122.4074703,37.8005275
Empress of China,-122.4061012,37.7948482
Melt!,-122.4113627,37.8012684
Sushi on North Beach - Katsu,-122.4119257,37.801363
Il Pollaio,-122.4100117,37.7999591
Freddie's Sandwiches,-122.4103219,37.8052102
La Trappe,-122.4129815,37.8019801
Coi,-122.4029307,37.798189
Mo's Grill,-122.4072154,37.7991995
Washington Square Bar & Grill,-122.4110417,37.8004678
Don Pistos,-122.4079689,37.8007324
Daphne's,-118.0759759,34.1504412
Corner Bakery,-118.0695901,34.1505194
Lin Jia Asian Kitchen,-122.2425631,37.8115287
D'Angelos,-122.5481178,37.9055781
Unknown Name,-122.5476818,37.905249
Sand Dollar Restaurant,-122.6389013,37.8985909
Market Grill,-122.4162744,37.7771317
Chung King,-118.0906267,34.0897984
Bubba Gump Shrimp Company,-122.4103847,37.8110342
Sam Woo BBQ,-118.0865159,34.104359
Osha Thai,-122.4146557,37.7866568
Pinecrest Diner,-122.4099933,37.7870044
Little Whale,-122.3960128,37.6034574
Erik's Deli,-121.5641231,37.0260902
Happy Donut,-122.4234947,37.7949042
Seven Hills,-122.4181251,37.7952878
All Star Donuts,-122.401924,37.7794096
Mandarin Gourmet,-122.0276617,36.9752873
Planet Fresh Burritos,-122.0279117,36.975132
Chocolate,-122.0264126,36.975568
Unknown Name,-122.0268636,36.9760776
El Palomar Restaurant,-122.0257146,36.9741477
Tommy's Joynt,-122.4216191,37.7855464
The Blazin' Crab,-117.186201,34.061189
Dhat Island,-117.1859621,34.0568851
California Pizza Kitchen,-117.2309472,32.8676925
DeLaveaga Lodge Restaurant,-122.0013278,36.997326
Center Street Grill,-122.0288799,36.9760044
Colibri,-122.4105458,37.7872027
Shun Feng Restaurant,-122.0290917,36.9819616
Sake,-122.0192881,36.9805001
Water Street Grill,-122.0201673,36.9801511
Joe's Pizza & Subs,-122.0144986,36.9811513
Cafe Iveta,-122.0558021,36.9980873
Peking,-121.9657129,36.9848645
Cafe Cruz,-121.9651815,36.9849977
Shogun,-122.0258023,36.9722569
Mobo Sushi,-122.0245744,36.9752138
Oswald,-122.0248418,36.9733404
Mozaic,-122.0269724,36.9746064
Motiv Bistro,-122.0263891,36.9732801
Falafel House,-122.0266836,36.9732602
Woodstock's Pizza,-122.0249867,36.9747113
Denny's,-120.1332736,37.0188052
Keothip,-119.8614674,36.8079403
Applebee's Neighborhood Grill & Bar,-119.8606348,36.8086962
Saturn Café,-122.0245872,36.9690383
Dunneville Market,-121.4114424,36.9409829
Walnut Avenue Café,-122.0263716,36.973588
Joe's Pizza & Subs,-122.0260045,36.9729825
Betty Burger Eat Inn,-122.0258496,36.973616
Kianti's Pizza and Pasta Bar,-122.025327,36.9719288
Hula's Island Grill & Tiki Room,-122.0261149,36.971442
Gabriella Café,-122.027535,36.9747957
Cafe Mare,-122.0251555,36.975349
Vasili's,-122.0394651,36.9669587
Sabieng Thai Cuisine,-122.0378869,36.9691446
Restaurante Los Pinos,-122.027277,36.9774672
Taqueria Los Pericos,-122.0257286,36.9778036
Zachary's,-122.0251388,36.9699019
Yan Flower,-122.0247771,36.9680657
Ideal Bar & Grill,-122.0232302,36.96273
Soif Wine Bar & Retail,-122.0262765,36.9733175
Tofu Village,-118.3096159,34.0619072
Tacos Moreno,-122.0105636,36.9815424
Denny's,-122.0241708,36.9850393
Bagelry,-122.009649,36.9795084
Upper Crust Pizza,-122.0485974,36.9605883
O'mei,-122.0473583,36.9616159
Sushi Totoro,-122.0411423,36.9652403
Pizzeria Avanti,-122.0413006,36.9650534
Ristorante Avanti,-122.0427986,36.9633581
Tam's,-122.0482634,36.9607208
Pearl of the Ocean,-122.015915,36.9807697
Viva's,-122.0105737,36.9799618
Akira,-122.0098422,36.979977
Mei Garden,-122.0196956,36.9757206
Riva Fish House,-122.0197117,36.9598725
SPLASH!,-122.0185837,36.9590602
Stagnaro Brothers Sea Food (Restaurant and Fish Market),-122.0177795,36.9582635
Bocci's Cellar,-122.0319561,36.9867644
Back Nine Grill & Bar,-122.0224314,36.9993593
Rosy's At The Beach,-121.6524868,37.1283521
Hindquarter Bar & Grill,-122.0212641,36.9742594
Earthbelly,-122.0193094,36.9747127
Ristorante Italiano,-122.01752,36.9763174
Little Kitchen,-122.4225313,37.7989098
Thai House,-122.0194248,36.974946
Pizza My Heart,-122.0254581,36.9723427
Linda's Seabreeze Cafe,-122.0077669,36.9683011
Thai Noodle House,-122.044324,36.9626266
Malabar Café,-122.0242056,36.9726184
I Love Sushi,-122.0241752,36.9725347
Kabul Palace,-122.0247121,36.9696588
De La Hacienda,-122.028083,36.9687174
Engfer Pizza Works,-122.0080496,36.9681264
Sesame Grill,-122.0246106,36.9716254
Cafe Gratitude,-122.0260554,36.9725615
Pacific Thai Santa Cruz,-122.0262003,36.9737575
Laili,-122.0261512,36.9751363
Akira,-122.0014628,36.981233
Mimi's Cafe,-121.991133,37.2903547
Vaquero's,-121.990635,37.2899382
Red Robin,-121.99048,37.2898221
Checkers,-121.97552,37.29424
Your Place,-122.0413956,36.9649413
Domino's Pizza,-122.0479767,36.9605074
Asa Sushi,-122.4422747,37.799938
Danny's Bistro and Cafe,-118.4734125,33.9871321
Squat & Gobble,-122.4405522,37.8001729
Beach Chalet,-122.5102178,37.7694735
Park Chalet Garden Restaurant,-122.5099836,37.7694736
Gilda's,-122.0193804,36.9596413
Miramar,-122.0189598,36.9593148
Olitas,-122.0183756,36.9589486
Surf Rider Café,-122.0244281,36.9715737
Pancho Villa,-122.4210768,37.7648614
El Toro,-122.4219094,37.7634365
Crepevine,-122.2692738,37.8782219
Denny's,-122.4049218,37.7841579
Buck's,-122.2551877,37.4297913
v16 Sushi Lounge,-122.4217183,37.7650919
Cafe 15,-122.274255,37.8062477
Starvin' Dog Pizza,-120.904441,38.8081389
Marco's Cafe,-120.9074879,38.8092893
Hawking Bird,-122.262839,37.835859
Burma Superstar,-122.263181,37.8347499
Pyung Chang Tofu House,-122.2632445,37.8344662
Kang Nam Pho,-122.26374,37.8325303
Grocery Cafe,-122.2755503,37.794636
Panda Inn,-117.5814587,34.066917
TGI Friday's,-117.579733,34.0669108
El Jardín,-121.9918962,36.9796466
L&L's Hawaiian BBQ,-121.9978848,36.9674481
Johnny's Harborside,-122.0017861,36.9670943
Erik's DeliCafé,-121.9810357,36.9887943
Gayle's Bakery,-121.9525891,36.9785211
Aqui,-121.8311225,37.2492909
Tequila Jack's,-118.1901673,33.7610739
Round Table Pizza,-122.4210445,37.7830203
Sushi Hana,-122.4205958,37.7830425
Ken's Chinese Kitchen,-122.4190532,37.7832306
Pronto Pizza & Espresso,-122.4203496,37.7830769
Jarin Thia Cuisine,-122.4196454,37.7839089
Hayward lumber service area,-121.9345573,36.6166531
Pomodoro,-122.4249223,37.626301
Red Robin,-117.2117132,32.8692135
J.K.'s Burgers,-117.2061339,32.8677542
Star Anise,-117.2058702,32.8677146
Fatapples Restaurant,-122.274233,37.881542
Mountain Mike's,-122.2942927,37.8749191
Taqueria Agave 2,-122.000307,36.9813855
