longitude_covid,latitude_covid,radius_covid,cases_covid,longitude_fire,latitude_fire,radius_acres_fire,radius_degrees_fire,status_fire,gas_name,longitude_gas,latitude_gas,risk_level_gas
-122.97388899999999,38.345278,0.0,1.0,-121.35014,39.06066,3.477898169151024,0.002225922291280859,contained,Circle K & Minimart,-117.1907772,34.0573651,Very High Risk
-120.88578700000001,40.081003,0.0,1.0,-120.296551,37.52437800000001,8.812923024107548,0.005640441685356162,contained,Unknown Name,-117.2256087,34.0485747,Very High Risk
-121.94008600000001,39.809273,0.0,1.0,-122.435492,40.463936,3.0901936161855166,0.0019777838568287467,contained,Unknown Name,-117.1562993,34.0413876,Very High Risk
-116.23139599999999,33.831128,0.0,1.0,-121.468074,37.962557,5.352372348458314,0.0034256221264169196,contained,Arco,-122.420268,37.7684682,High Risk
-122.857675,38.101176,0.0,1.0,-120.027731,37.241427,6.886811529393324,0.004407692966717496,contained,Valley Oil,-122.0701271,37.381165,Very High Risk
-121.23472199999999,40.3025,0.0,1.0,-118.9183333,34.900833299999995,8.136857890256438,0.005207746885621899,contained,Unknown Name,-118.2372374,34.10327279999999,Very High Risk
-119.400833,35.058889,0.0,1.0,-122.143942,38.481258,4.51351666838205,0.0028887382193457933,contained,Arco,-122.078426,37.40606470000001,Very High Risk
-121.525915,39.906141,0.0,1.0,-117.10318,34.42386,5.077706251929807,0.003249830496764018,contained,Arco,-121.7879328,37.6774981,Very High Risk
-118.303,33.92348,0.0,1.0,-121.579738,39.423833,1.7841241161527712,0.0011418740421389733,contained,Shell,-121.7868756,37.6777037,Very High Risk
-120.551979,38.074667,0.0,1.0,-122.118889,38.158333,7.632215220473915,0.004884765788083149,contained,76,-122.25037140000002,37.8373034,High Risk
-122.96665700000001,38.250583,0.0,1.0,-121.807258,37.433192,5.046265044040321,0.0032297075138294456,contained,Car Service,-122.2372221,37.8407536,High Risk
-122.580898,37.862086,0.0,1.0,-120.435278,35.004721999999994,5.499039842323396,0.003519492167494137,contained,Chevron,-122.26154409999998,37.8404305,High Risk
-122.699146,38.061577,0.0,1.0,-122.656569,41.834366,5.140011726956917,0.0032897072093606783,contained,Mobil,-122.27001509999998,37.8394465,High Risk
-117.66,34.236111,0.0,1.0,-122.845,41.838,3.3377905890622728,0.0021362507222673537,contained,Fuel 24:7,-122.2701261,37.84002520000001,High Risk
-122.68946899999999,38.013861,0.0,1.0,-123.846013,39.831762,6.432750982580687,0.004117085409053396,contained,Unknown Name,-122.2334503,37.7755014,High Risk
-116.37498000000001,33.25665,0.0,1.0,-117.769766,33.997528,7.046725639945928,0.004510041099427858,contained,Chevron,-122.2097519,37.82558579999999,High Risk
-116.886523,34.86215,0.0,1.0,-116.796032,32.767649,6.90988298942671,0.004422459148670789,contained,Chevron,-122.2441212,37.8579312,High Risk
-122.525493,37.904404,0.0,1.0,-120.984167,35.908333,10.02925341359355,0.006418916728568863,contained,Unknown Name,-122.2467567,37.84382,High Risk
-115.692714,32.79475,0.0,1.0,-118.41204,35.60989,11.941642642883693,0.0076428829311565236,contained,Valero,-122.35037,37.581745,High Risk
-122.73704,39.02986,0.0,1.0,-122.25409,40.55924,3.0901936161855166,0.0019777838568287467,contained,Chevron,-122.3341399,37.5803881,High Risk
-117.631111,34.602222,0.0,1.0,-121.678172,37.968494,4.296739856991561,0.002749996855096861,contained,Unknown Name,-122.3634177,37.5872485,High Risk
-117.8125,35.646944,0.0,1.0,-120.336977,40.886677,6.432750982580687,0.004117085409053396,contained,Unknown Name,-122.3623912,37.5876457,High Risk
-122.97407,39.18934,0.0,1.0,-121.320838,40.900458,5.836022431559495,0.0037351675612729254,contained,Unknown Name,-122.3371847,37.578398,High Risk
-122.686568,37.909209999999995,0.0,1.0,-121.841879,37.708743,8.740387444736633,0.005594017507539563,contained,Valero,-122.3627774,37.5887203,High Risk
-114.41,34.483000000000004,0.0,1.0,-118.342239,34.675542,5.781222885281108,0.0037000947886727683,contained,76,-121.8623645,37.2210474,Very High Risk
-119.419358,36.349117,0.0,1.0,-121.761974,37.219717,4.370193722368317,0.0027970087537697815,contained,Shell,-117.954905,33.7165414,Very High Risk
-122.6447,37.900447,0.0,1.0,-120.208019,37.532028,11.603666741842574,0.0074265717985546155,contained,Unknown Name,-120.230955,37.83851660000001,High Risk
-122.904946,38.24654,0.0,1.0,-120.177018,37.536069,20.342144725641095,0.013019367214054748,contained,Shell,-122.087399,37.3731217,Very High Risk
-117.07722199999999,34.240833,0.0,1.0,-121.45597,37.034183,3.3377905890622728,0.0021362507222673537,contained,Chevron,-117.2158525,32.8670766,Very High Risk
-122.224884,38.197520000000004,0.0,1.0,-119.030621,36.40193,15.512648837479231,0.009928396164798034,contained,World,-117.2041575,32.854825899999994,Very High Risk
-122.64540500000001,38.012655,0.0,1.0,-120.680556,40.061389,131.84665147158339,0.08438441445598048,contained,Shell,-117.204072,32.8543944,Very High Risk
-117.908625,34.931746999999994,0.0,1.0,-118.872,37.826,39.25073055536097,0.02512122892705741,contained,Mobil,-117.2049467,32.8542675,Very High Risk
-122.517255,38.114795,0.0,1.0,-118.185,36.151,11.012541334134653,0.007048240071182407,contained,Unknown Name,-117.1843763,32.8227832,Very High Risk
-122.27673100000001,37.27042,0.0,1.0,-122.662258,41.862237,24.410573670769317,0.015623240656865697,contained,Clairemont Auto Care,-117.1950836,32.8342381,Very High Risk
-122.344756,38.529655,0.0,1.0,-121.110146,37.32585,7.776816725043752,0.004977313555936089,contained,Unknown Name,-117.1944828,32.8342381,Very High Risk
