date,county,fips,place,confirmed_cases,note,x,y,log_cases,category,ordinal_cat
2020-10-23,Sonoma,97.0,Jenner,1,10 or fewer,-123.115556,38.449722,0.0,0,0
2020-10-23,Sonoma,97.0,Graton,1,10 or fewer,-122.86638899999998,38.4375,0.0,0,0
2020-05-06,Kern,29.0,Lake Isabella,1,,-118.473056,35.618056,0.0,0,0
2020-10-23,Sonoma,97.0,Cazadero,1,10 or fewer,-123.085278,38.533333,0.0,0,0
2020-10-23,Marin,41.0,San Geronimo,1,9 or fewer,-122.664097,38.013109,0.0,0,0
2020-10-23,San Mateo,81.0,West Menlo Park,1,9 or fewer,-122.203,37.4335,0.0,0,0
2020-10-23,Nevada,57.0,96162,1,9 or fewer,-120.298198,39.320596,0.0,0,0
2020-10-23,Napa,55.0,Northeast American Canyon Area,1,,-122.224884,38.19752,0.0,0,0
2020-10-23,Sonoma,97.0,The Sea Ranch,1,10 or fewer,-123.454444,38.71527800000001,0.0,0,0
2020-05-25,Marin,41.0,West Marin,1,9 or fewer,-122.806944,38.069167,0.0,0,0
2020-10-23,San Mateo,81.0,Princeton,1,9 or fewer,-122.01,39.4032,0.0,0,0
2020-10-25,San Francisco,75.0,94104,1,9 or fewer,-122.402129,37.791412,0.0,0,0
2020-10-25,San Bernardino,71.0,Baldy Mesa,1,,-117.450278,34.459167,0.0,0,0
2020-03-25,San Diego,73.0,San Ysidro,1,,-117.04851399999998,32.556644,0.0,0,0
2020-04-21,Ventura,111.0,Somis,1,,-118.994592,34.263681,0.0,0,0
2020-10-23,Nevada,57.0,95960,1,9 or fewer,-121.105093,39.367443,0.0,0,0
2020-10-23,San Mateo,81.0,Ladera,1,9 or fewer,-122.197222,37.399444,0.0,0,0
2020-04-21,Napa,55.0,Between St Helena and Yountville Area,1,,-122.421389,38.458611,0.0,0,0
2020-10-23,Nevada,57.0,95924,1,9 or fewer,-121.024144,39.199754,0.0,0,0
2020-10-23,Nevada,57.0,95986,1,9 or fewer,-120.795012,39.361486,0.0,0,0
2020-10-23,Nevada,57.0,95977,1,9 or fewer,-121.28975,39.19322,0.0,0,0
2020-10-23,Nevada,57.0,96111,1,9 or fewer,-120.021212,39.392752,0.0,0,0
2020-10-23,Nevada,57.0,95712,1,9 or fewer,-120.967255,39.145764,0.0,0,0
2020-10-23,San Mateo,81.0,Broadmoor,1,9 or fewer,-122.478889,37.6925,0.0,0,0
2020-10-23,Nevada,57.0,95724,1,9 or fewer,-120.64145,39.26599,0.0,0,0
2020-10-23,San Mateo,81.0,La Honda,1,9 or fewer,-122.208658,37.29111500000001,0.0,0,0
